 employee_id |       employee        | shifts_per_week | total_oncall_duration 
-------------+-----------------------+-----------------+-----------------------
   993371451 | Luca Ward             |               5 | 37:00:00
   827516823 | William Torres        |               5 | 37:00:00
   693106997 | Levi Flores           |               5 | 37:00:00
   455991982 | Daniel Harris         |               5 | 37:00:00
   281624513 | Andrew Sanchez        |               5 | 37:00:00
   961226623 | Jackson Sutton        |               5 | 37:00:00
   353879268 | Ezekiel Ortiz         |               5 | 36:00:00
   260461032 | Miles Hughes          |               5 | 36:00:00
   498734916 | Henry Smith           |               5 | 36:00:00
   539985426 | Xavier Fischer        |               5 | 36:00:00
   348920940 | Kody Gray             |               5 | 36:00:00
   877945489 | Colton Reyes          |               5 | 36:00:00
   835877444 | Dylan Clark           |               5 | 36:00:00
   337184813 | Robert Ramirez        |               5 | 36:00:00
   183362037 | Charles Green         |               5 | 36:00:00
   443810550 | Finn Williams         |               5 | 36:00:00
   712556613 | Benjamin Hernandez    |               5 | 36:00:00
   991409751 | James Taylor          |               5 | 36:00:00
   102068808 | Kai Rodriguez         |               5 | 36:00:00
   875021636 | Peter Robinson        |               5 | 36:00:00
   178263104 | Owen Johnson          |               5 | 36:00:00
   788078941 | Gabriel Cooper        |               5 | 36:00:00
   748476657 | Henry Douglas         |               5 | 35:00:00
   316222073 | Elijah Martinez       |               5 | 35:00:00
   899875296 | Rafael Fischer        |               5 | 35:00:00
   534889036 | Eli Baldwin           |               5 | 35:00:00
   862171763 | Beau Riley            |               5 | 35:00:00
   681555872 | Damian Ray            |               5 | 35:00:00
   934302671 | Adrian Young          |               5 | 35:00:00
   468524302 | Jackson Freeman       |               5 | 35:00:00
   557095437 | Josiah Nelson         |               5 | 35:00:00
   257004060 | Miles Schultz         |               5 | 35:00:00
   711176494 | Joshua Long           |               5 | 35:00:00
   193803675 | Malik Reed            |               5 | 35:00:00
   230978753 | Owen Campbell         |               5 | 35:00:00
   280554666 | Michael Moore         |               5 | 35:00:00
   925542522 | Liam Taylor           |               5 | 34:00:00
   164095933 | Josiah Young          |               5 | 34:00:00
   534139159 | Eli Miller            |               5 | 34:00:00
   757274677 | Joshua Flores         |               5 | 34:00:00
   170163504 | Ryder Walker          |               5 | 34:00:00
   954085575 | Theodore Fischer      |               5 | 34:00:00
   435893728 | Ian Cohen             |               5 | 34:00:00
   312803646 | Caleb Gonzalez        |               5 | 34:00:00
   957749533 | Miles Douglas         |               5 | 34:00:00
   110274095 | Parker Kim            |               5 | 34:00:00
   820176638 | Ian Hill              |               5 | 34:00:00
   478929056 | Beau Hamilton         |               5 | 34:00:00
   376592887 | Aiden Keller          |               5 | 34:00:00
   757915865 | Easton Berg           |               5 | 34:00:00
   746258274 | Kody Rogers           |               5 | 34:00:00
   939811562 | Kayden Walters        |               5 | 34:00:00
   144909906 | Weston Spencer        |               5 | 34:00:00
   242683311 | Henry Morris          |               5 | 34:00:00
   455738964 | Gael Garcia           |               5 | 34:00:00
   586616015 | Rafael Mendoza        |               5 | 34:00:00
   345375744 | Jayden Martin         |               5 | 34:00:00
   101561612 | Tristan Jackson       |               5 | 34:00:00
   329754850 | Ian Brooks            |               5 | 34:00:00
   232131342 | Easton Gonzalez       |               5 | 34:00:00
   760079330 | Ryder Reyes           |               5 | 34:00:00
   848345731 | Finn Riley            |               5 | 34:00:00
