 employee_id |      full_name      | department | total_paid 
-------------+---------------------+------------+------------
   164471108 | Angel Ramirez       | IT         |   28477.40
   636776459 | Beau Torres         | IT         |   27016.83
   979903830 | Cooper Lopez        | IT         |   26405.27
   479859066 | James Hamilton      | IT         |   25813.01
   270084019 | Noah Watson         | IT         |   25500.23
   602971848 | Maverick Carter     | IT         |   25156.33
   966114164 | Austin Potter       | IT         |   24804.11
   655808856 | Malik Rodriguez     | IT         |   24666.84
   506416286 | Roman Foster        | IT         |   24610.10
   170909339 | Hector Baldwin      | IT         |   24373.32
   996552985 | Kayden Potter       | IT         |   24143.96
   121862799 | Kayden Spencer      | IT         |   23638.08
   167236812 | Lincoln Harris      | IT         |   23604.71
   777991999 | Carter Potter       | IT         |   23516.62
   464369940 | Asher Ward          | IT         |   23124.47
   907790014 | Maverick Perez      | IT         |   23003.39
   893679522 | Cooper Cohen        | IT         |   22918.22
   939466803 | Leonardo James      | IT         |   22599.65
   512737309 | Luca Baker          | IT         |   22296.69
   827323809 | Easton Cross        | IT         |   22283.29
   171393525 | Owen Watson         | IT         |   21108.83
   145524573 | Joseph Harris       | IT         |   20958.66
   598197054 | Waylon Wood         | IT         |   20777.98
   171113765 | Adrian Cohen        | IT         |   19988.78
   531528627 | Landon Weber        | IT         |   19900.32
   163478946 | Elias Green         | IT         |   19664.48
   591519516 | Nolan Evans         | IT         |   19657.15
   608199311 | Xavier Miller       | IT         |   19341.02
   554402420 | Samuel Nolan        | IT         |   18615.71
   208692289 | Noah Kim            | IT         |   18408.15
   357086513 | Nicholas Serrano    | IT         |   18383.78
   752596742 | Elijah Allen        | IT         |   18375.93
   776343509 | Jameson Bennett     | IT         |   18335.35
   371422610 | Wesley Bryant       | IT         |   18177.36
   743148412 | Asher Richardson    | IT         |   18081.09
   190728800 | Jack Walters        | IT         |   17994.69
   743653314 | Christian Hall      | IT         |   17989.47
   565220359 | Axel Walker         | IT         |   17917.74
   350707707 | Dominic Adams       | IT         |   17911.21
   727196934 | Landon Schultz      | IT         |   17888.45
   287835742 | Elijah Walters      | IT         |   17615.22
   254506750 | Landon Wilson       | IT         |   17541.95
   820597738 | Mateo Cook          | IT         |   17470.37
   176761916 | James Rodriguez     | IT         |   17268.11
   749150665 | Ezra Keller         | IT         |   16862.27
   129306671 | Kody Davis          | IT         |   16699.67
   322532679 | Leo Young           | IT         |   16038.56
   598826160 | Damian Martin       | IT         |   15916.47
   975337095 | Christian Morris    | IT         |   15872.88
   982285062 | Theodore Brown      | IT         |   15770.93
   398281607 | Easton Ramos        | IT         |   15759.64
   183910164 | Shane Anderson      | IT         |   15708.37
   111651711 | Peter Richardson    | IT         |   15612.18
   566492381 | James Nguyen        | IT         |   15019.99
   591080856 | Nathan Graham       | IT         |   14987.43
   626483054 | Rowan Harris        | IT         |   14980.49
   658787157 | Joseph Long         | IT         |   14957.73
   573111450 | Robert Cruz         | IT         |   14952.66
